PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2016-0112,03/23/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,Initial,Pending,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,Mentally unstable,Yes,White,Male,36,7,1 feet to 3 feet,Male,Black,38,,,No,Yes,No,,refuse verbal commands,No
FTN2016-0169,03/26/2016,FOB - Field Operations Bureau,6th District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,Alchohol,Yes,White,Male,43,13,1 feet to 3 feet,Male,Black,27,Small,5'4'' to 5'6'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0172,03/26/2016,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Force (Take Down) | Firearm (Exhibited) | Firearm (Exhibited),L2 | L1 | L1,None detected,Yes | Yes | Yes,White | Race-Unknown | Black,Male | Male | Male,32 | 28 | 28,6 | 6 | 7,1 feet to 3 feet,Male,Black,37,Medium,5'10'' to 6'0'',No,No,No,,refuse verbal commands,No | No | No
FTN2016-0168,03/26/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Hands | Force (Escort Tech) | Hands,L1 | L1 | L1 | L1,Alchohol and unknown drugs | Alchohol and unknown drugs,Yes | Yes | Yes | Yes,White | Black | White | White,Male | Male | Male | Female,56 | 33 | 27 | 39,0 | 9 | 8 | 7,1 feet to 3 feet | 1 feet to 3 feet,Male | Male,White | Black,29 | 33,Large | Large,6'1'' to 6'3'' | 6'1'' to 6'3'',Yes | Yes,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2016-0173,03/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Hands | CEW Deployment,L1 | L2,Alchohol,No | Yes,Black | Black,Female | Female,47 | 47,27 | 27,1 feet to 3 feet,Male,White,23,Small,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0174,03/28/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown | Unknown,Yes,Black,Male,34,15,11 feet to 14 feet | 11 feet to 14 feet,Male | Male,Black | Black,23 | 22,,,No | No,No | No,No | No,,Other,No
FTN2016-0175,03/29/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,No | No,Black | White,Male | Male,28 | ,7 | 7,11 feet to 14 feet,Male,Black,17,Medium,< 5'0'',No,No,Yes,,Other,No | No
FTN2016-0194,03/29/2016,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands | Hands | Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1 | L1,Unknown,No | Yes | Yes | Yes | Yes | Yes,Black | White | White | Black | Black | White,Female | Male | Male | Female | Female | Male,40 | 32 | 50 | 40 | 24 | 30,16 | 16 | 19 | 16 | 1 | 6,0 feet to 1 feet,Male,Black,25,Large,6'1'' to 6'3'',No,No,Yes,,Other,No | No | No | No | No | No
FTN2016-0194,03/29/2016,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands | Hands | Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1 | L1,Unknown,No | Yes | Yes | Yes | Yes | Yes,Black | White | White | Black | Black | White,Female | Male | Male | Female | Female | Male,40 | 32 | 50 | 40 | 24 | 30,16 | 16 | 19 | 16 | 1 | 6,0 feet to 1 feet,Male,Black,25,Large,6'1'' to 6'3'',No,No,Yes,,Other,No | No | No | No | No | No
FTN2016-0176,03/30/2016,FOB - Field Operations Bureau,5th District,Narcotics,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,None detected,Yes | Yes,Asian/Pacifi | Asian/Pacif,Male | Male,33 | 33,13 | 13,0 feet to 1 feet,Male,Black,32,XLarge,> 6'3'',No,No,No,,Other,No | No
